YEAR,MO,DY,T2M,PRECTOTCORR,RH2M
2021,7,17,28.73,8.06,88.53
2021,7,18,27.97,9.24,89.26
2021,7,19,27.82,18.87,90.91
2021,7,20,29.02,20.52,85.34
2021,7,21,28.94,6.97,85.2
2021,7,22,28.83,12.75,87.12
2021,7,23,28.15,10.76,91.76
2021,7,24,28.67,35.51,91.4
2021,7,25,28.79,8.27,89.9
2021,7,26,29.84,3.24,86.95
2021,7,27,29.63,15.34,90.46
2021,7,28,28.63,14.85,93.83
2021,7,29,27.63,29.18,92.7
2021,7,30,28.25,21.24,90.56
2021,7,31,28.29,13.59,90.3
2021,8,1,27.87,21.6,91.86
2021,8,2,28.1,4.62,90.38
2021,8,3,28.84,12.76,87.67
2021,8,4,28.56,10.75,88.75
2021,8,5,29.59,11.55,84.21
2021,8,6,28.17,46.28,94.62
2021,8,7,28.54,34.68,90.97
2021,8,8,28.88,9.45,90.58
2021,8,9,29.07,9.49,89.09
2021,8,10,28.97,9.28,91.4
2021,8,11,29.06,5.69,90.86
2021,8,12,28.5,18.22,91.52
2021,8,13,28.1,31.42,87.53
2021,8,14,29.02,13.71,88.73
2021,8,15,28.29,18.58,91.6
2021,8,16,28.35,7.32,89.68
2021,8,17,28.16,15.24,91.1
2021,8,18,27.62,17.26,94.4
2021,8,19,27.34,9.57,93.05
2021,8,20,27.75,3.69,90.75
2021,8,21,28.02,0.93,87.98
2021,8,22,28.5,4.52,86.85
2021,8,23,28.86,7.43,88.97
2021,8,24,28.41,11.26,91.63
2021,8,25,28.16,15.67,91.28
2021,8,26,28.34,2.96,90.35
2021,8,27,27.4,18.96,92.52
2021,8,28,27.64,4.73,91.03
2021,8,29,27.32,3.26,92.08
2021,8,30,27.08,9.08,92.49
2021,8,31,28.15,3.01,88.52
2021,9,1,27.55,4.84,89.13
2021,9,2,26.93,14.28,91.86
2021,9,3,28.12,1.74,80.91
2021,9,4,28.96,3.35,82.68
2021,9,5,28.91,17.97,86.5
2021,9,6,28.09,13.54,90.56
2021,9,7,27.71,7.91,90.75
2021,9,8,27.91,2.45,88.16
2021,9,9,28.7,3.19,83.79
2021,9,10,28.15,4.57,89.74
2021,9,11,28.27,11.46,87.79
2021,9,12,27.99,1.35,89.94
2021,9,13,27.66,2.41,91.43
2021,9,14,27.42,9.87,93.05
2021,9,15,28.34,10.4,88.15
2021,9,16,27.61,9.07,90.71
2021,9,17,27.97,8.88,88.82
2021,9,18,27.0,16.1,91.91
2021,9,19,27.3,38.59,89.76
2021,9,20,26.7,10.31,93.33
2021,9,21,26.78,2.0,92.09
2021,9,22,26.56,4.79,90.77
2021,9,23,28.21,1.81,83.48
2021,9,24,28.58,0.38,84.19
2021,9,25,28.46,15.72,85.25
2021,9,26,28.77,13.24,84.77
2021,9,27,28.06,12.63,89.27
2021,9,28,26.81,13.87,92.73
2021,9,29,26.92,8.97,90.69
2021,9,30,27.74,11.06,86.02
2021,10,1,28.52,0.69,71.35
2021,10,2,28.04,2.18,85.53
2021,10,3,28.0,4.38,90.04
2021,10,4,27.35,8.93,93.42
2021,10,5,27.91,13.94,83.55
2021,10,6,28.01,14.01,79.59
2021,10,7,28.6,4.66,80.0
2021,10,8,28.54,10.3,83.11
2021,10,9,28.71,2.53,82.27
2021,10,10,28.8,2.09,83.65
2021,10,11,28.27,0.06,87.06
2021,10,12,27.79,4.62,91.47
2021,10,13,28.28,9.82,88.29
2021,10,14,28.52,4.29,84.48
2021,10,15,28.88,2.82,85.35
2021,10,16,28.0,4.0,90.48
2021,10,17,27.71,13.64,89.15
2021,10,18,26.29,40.63,94.06
2021,10,19,26.61,29.74,93.42
2021,10,20,27.09,21.07,91.45
2021,10,21,26.18,3.21,85.87
2021,10,22,24.54,3.51,77.32
2021,10,23,24.82,0.14,76.4
2021,10,24,25.86,0.05,72.01
2021,10,25,25.3,1.08,75.29
2021,10,26,25.29,0.31,75.13
2021,10,27,24.64,1.66,84.2
2021,10,28,25.59,0.19,84.11
2021,10,29,25.62,0.0,85.43
2021,10,30,24.98,0.0,85.93
2021,10,31,23.96,0.0,83.77
2021,11,1,22.57,0.0,79.95
2021,11,2,22.33,0.0,76.25
2021,11,3,23.01,0.0,80.04
2021,11,4,23.28,0.0,79.42
2021,11,5,22.01,0.0,81.82
2021,11,6,21.54,0.0,79.92
2021,11,7,21.16,0.0,83.06
2021,11,8,20.93,0.0,83.45
2021,11,9,21.17,0.0,83.13
2021,11,10,21.68,0.0,81.34
2021,11,11,22.46,0.0,79.65
2021,11,12,23.39,0.0,81.74
2021,11,13,23.1,1.26,88.94
2021,11,14,23.66,7.6,88.74
2021,11,15,23.13,10.06,89.96
2021,11,16,22.64,4.88,89.58
2021,11,17,21.62,1.14,84.96
2021,11,18,21.18,0.0,77.65
2021,11,19,21.67,0.0,78.76
2021,11,20,21.91,0.0,82.18
2021,11,21,23.06,0.0,81.24
2021,11,22,23.79,0.0,76.98
2021,11,23,23.18,0.0,82.38
2021,11,24,21.77,0.0,86.08
2021,11,25,20.4,0.0,74.75
2021,11,26,19.2,0.0,75.12
2021,11,27,19.13,0.0,75.3
2021,11,28,19.02,0.0,74.51
2021,11,29,18.33,0.0,80.52
2021,11,30,19.73,0.0,79.75
2021,12,1,21.17,0.0,80.05
2021,12,2,21.74,0.0,75.61
2021,12,3,22.1,0.09,79.97
2021,12,4,22.3,1.87,86.66
2021,12,5,21.83,21.75,94.36
2021,12,6,22.42,67.85,94.69
2021,12,7,22.51,32.06,89.13
2021,12,8,21.46,2.21,88.35
2021,12,9,21.72,1.42,84.85
2021,12,10,20.05,2.55,84.49
2021,12,11,19.23,1.18,82.82
2021,12,12,17.15,0.0,78.0
2021,12,13,16.64,0.0,81.62
2021,12,14,17.17,0.0,85.34
2021,12,15,17.2,0.0,84.1
2021,12,16,16.69,0.0,84.34
2021,12,17,16.93,0.0,82.93
2021,12,18,17.13,0.0,79.59
2021,12,19,16.36,0.0,85.34
2021,12,20,14.5,0.0,81.42
2021,12,21,16.29,0.0,82.69
2021,12,22,17.27,0.03,82.73
2021,12,23,17.92,0.0,77.38
2021,12,24,17.89,0.01,81.06
2021,12,25,18.33,0.0,75.71
2021,12,26,18.0,0.0,77.65
2021,12,27,18.0,0.0,75.58
2021,12,28,17.91,0.0,80.19
2021,12,29,17.72,0.0,80.97
2021,12,30,17.98,0.0,81.44
2021,12,31,17.47,0.0,84.45
2022,1,1,16.76,0.0,85.58
2022,1,2,16.8,0.0,83.7
2022,1,3,16.98,0.0,83.69
2022,1,4,16.66,0.0,83.69
2022,1,5,16.57,0.0,79.01
2022,1,6,17.27,0.0,78.96
2022,1,7,17.99,0.0,81.56
2022,1,8,18.28,0.0,84.15
2022,1,9,18.97,0.0,82.16
2022,1,10,19.61,0.0,82.35
2022,1,11,19.55,0.01,83.79
2022,1,12,19.18,2.29,88.79
2022,1,13,18.78,2.34,85.49
2022,1,14,17.62,1.0,80.12
2022,1,15,17.45,0.08,77.55
2022,1,16,16.88,0.04,80.06
2022,1,17,16.61,0.0,80.0
2022,1,18,16.75,0.0,82.6
2022,1,19,17.82,0.0,77.37
2022,1,20,17.24,0.0,79.71
2022,1,21,17.81,0.0,65.35
2022,1,22,18.46,0.0,67.87
2022,1,23,18.71,0.16,73.11
2022,1,24,17.28,6.0,87.38
2022,1,25,18.8,2.52,79.9
2022,1,26,19.0,2.2,76.07
2022,1,27,17.3,5.76,81.92
2022,1,28,14.8,0.4,74.91
2022,1,29,14.18,0.0,76.33
2022,1,30,15.25,0.0,72.13
2022,1,31,16.66,0.0,64.83
2022,2,1,17.3,0.06,79.02
2022,2,2,18.56,0.03,66.31
2022,2,3,18.02,0.06,73.39
2022,2,4,18.68,8.26,80.66
2022,2,5,17.49,21.84,76.58
2022,2,6,15.48,17.18,73.97
2022,2,7,15.08,0.0,73.6
2022,2,8,16.97,0.0,65.79
2022,2,9,18.2,0.0,64.32
2022,2,10,18.51,0.05,74.15
2022,2,11,18.71,0.07,75.2
2022,2,12,17.02,0.0,65.49
2022,2,13,16.85,0.0,70.41
2022,2,14,17.22,0.0,71.65
2022,2,15,18.16,0.0,63.96
2022,2,16,18.64,0.0,59.73
2022,2,17,18.87,0.0,58.86
2022,2,18,19.27,0.0,54.24
2022,2,19,19.57,0.0,53.55
2022,2,20,19.09,2.54,73.01
2022,2,21,19.81,1.4,68.53
2022,2,22,20.46,1.54,65.46
2022,2,23,21.46,0.02,66.58
2022,2,24,21.81,0.06,75.16
2022,2,25,22.62,0.83,74.7
2022,2,26,23.07,0.6,72.65
2022,2,27,23.12,0.02,64.35
2022,2,28,23.68,0.84,65.85
2022,3,1,23.14,0.34,62.88
2022,3,2,22.27,0.0,60.18
2022,3,3,22.98,0.0,56.51
2022,3,4,23.66,0.0,51.7
2022,3,5,23.99,0.0,52.61
2022,3,6,23.85,0.0,55.15
2022,3,7,23.91,0.0,60.02
2022,3,8,24.5,0.0,56.53
2022,3,9,25.01,0.0,54.79
2022,3,10,24.56,0.0,50.93
2022,3,11,24.65,0.0,51.11
2022,3,12,24.79,0.0,48.68
2022,3,13,24.95,0.0,51.72
2022,3,14,25.75,0.0,51.22
2022,3,15,26.85,0.0,46.53
2022,3,16,26.38,0.0,49.58
2022,3,17,27.79,0.0,52.89
2022,3,18,27.76,0.0,49.78
2022,3,19,27.64,0.0,50.2
2022,3,20,26.53,0.0,58.12
2022,3,21,26.06,0.0,61.05
2022,3,22,27.78,0.0,64.12
2022,3,23,29.51,0.0,53.66
2022,3,24,29.05,0.02,60.39
2022,3,25,28.51,0.07,70.8
2022,3,26,29.08,0.27,70.43
2022,3,27,28.56,0.7,70.76
2022,3,28,28.39,1.87,69.29
2022,3,29,28.16,4.28,72.11
2022,3,30,28.46,3.42,71.88
2022,3,31,29.43,0.49,69.09
2022,4,1,29.67,0.18,68.73
2022,4,2,29.34,0.16,68.82
2022,4,3,29.07,0.05,67.78
2022,4,4,29.6,0.14,64.65
2022,4,5,29.54,0.34,65.33
2022,4,6,29.37,2.32,68.4
2022,4,7,30.39,0.0,59.89
2022,4,8,30.16,0.0,52.75
2022,4,9,30.18,0.03,62.72
2022,4,10,30.45,1.0,62.58
2022,4,11,31.01,0.78,64.2
2022,4,12,30.97,0.51,63.9
2022,4,13,31.26,0.23,61.95
2022,4,14,30.95,0.11,64.14
2022,4,15,31.74,0.06,61.99
2022,4,16,30.72,0.12,67.28
2022,4,17,30.77,0.39,63.99
2022,4,18,31.03,0.33,63.85
2022,4,19,30.99,3.97,64.14
2022,4,20,28.59,16.16,73.89
2022,4,21,28.27,9.37,72.01
2022,4,22,29.65,7.28,69.62
2022,4,23,29.52,25.49,75.66
2022,4,24,30.38,10.25,71.3
2022,4,25,31.13,0.07,68.38
2022,4,26,31.17,1.88,68.91
2022,4,27,30.81,4.39,70.39
2022,4,28,31.72,0.11,65.69
2022,4,29,32.07,0.24,62.96
2022,4,30,31.14,2.34,64.77
2022,5,1,31.37,0.48,59.0
2022,5,2,30.94,3.21,60.98
2022,5,3,29.31,12.02,70.75
2022,5,4,28.2,15.73,76.2
2022,5,5,29.04,6.75,71.74
2022,5,6,29.35,11.72,71.02
2022,5,7,30.48,2.61,64.14
2022,5,8,30.47,2.49,63.96
2022,5,9,28.9,10.41,75.29
2022,5,10,27.95,16.37,82.9
2022,5,11,28.63,31.95,84.07
2022,5,12,29.44,13.84,81.49
2022,5,13,29.09,30.95,84.36
2022,5,14,29.69,9.73,82.46
2022,5,15,29.85,0.58,81.94
2022,5,16,29.13,0.95,85.46
2022,5,17,28.64,5.08,87.38
2022,5,18,28.01,4.74,84.54
2022,5,19,29.56,10.7,83.01
2022,5,20,28.95,26.55,84.6
2022,5,21,28.06,61.63,91.29
2022,5,22,28.61,10.22,82.76
2022,5,23,28.64,9.3,82.24
2022,5,24,29.2,3.25,78.38
2022,5,25,28.91,11.49,82.54
2022,5,26,28.87,18.28,80.56
2022,5,27,28.93,13.26,81.5
2022,5,28,29.16,10.21,80.99
2022,5,29,28.19,38.67,87.55
2022,5,30,27.92,26.34,88.02
2022,5,31,28.34,9.2,85.54
2022,6,1,28.43,6.35,87.16
2022,6,2,28.84,3.01,83.98
2022,6,3,28.45,6.64,88.73
2022,6,4,27.99,14.58,87.63
2022,6,5,28.44,5.06,86.85
2022,6,6,28.73,2.57,87.05
2022,6,7,29.1,5.58,85.64
2022,6,8,28.98,12.94,87.91
2022,6,9,28.55,32.43,91.5
2022,6,10,27.75,41.19,86.64
2022,6,11,28.35,1.27,88.04
2022,6,12,28.87,0.34,88.55
2022,6,13,29.29,4.44,88.75
2022,6,14,28.77,7.25,90.55
2022,6,15,28.18,8.5,91.65
2022,6,16,27.45,16.48,91.91
2022,6,17,27.43,39.99,93.48
2022,6,18,27.46,32.39,91.0
2022,6,19,27.04,22.87,92.67
2022,6,20,27.03,24.0,92.29
2022,6,21,27.08,24.88,92.09
2022,6,22,27.58,5.67,87.06
2022,6,23,27.97,8.33,89.01
2022,6,24,27.79,3.5,90.71
2022,6,25,28.14,3.6,88.56
2022,6,26,28.03,3.18,89.36
2022,6,27,28.41,3.09,87.6
2022,6,28,28.3,6.21,89.54
2022,6,29,28.14,9.04,90.28
2022,6,30,27.76,12.43,92.16
2022,7,1,28.46,4.99,89.46
2022,7,2,28.22,4.47,88.61
2022,7,3,28.07,7.27,90.03
2022,7,4,28.26,9.62,89.18
2022,7,5,28.54,0.79,87.65
2022,7,6,27.87,17.13,91.69
2022,7,7,28.27,4.38,88.32
2022,7,8,28.09,3.26,89.38
2022,7,9,28.26,0.86,86.82
2022,7,10,28.48,1.81,88.04
2022,7,11,27.87,2.39,89.0
2022,7,12,28.54,1.46,86.83
2022,7,13,28.92,1.22,87.11
2022,7,14,28.64,3.05,88.97
2022,7,15,28.87,6.6,87.15
2022,7,16,28.99,1.95,87.01
2022,7,17,29.06,2.69,87.31
2022,7,18,28.84,2.64,86.62
2022,7,19,28.56,5.11,88.29
2022,7,20,28.72,14.0,89.51
2022,7,21,28.88,2.96,86.79
2022,7,22,28.94,2.97,88.11
2022,7,23,27.89,13.05,90.69
2022,7,24,27.64,5.22,90.04
2022,7,25,27.28,16.4,86.15
2022,7,26,28.14,7.33,80.57
2022,7,27,28.72,2.02,83.4
2022,7,28,28.09,4.94,87.56
2022,7,29,28.76,8.65,78.83
2022,7,30,29.28,3.14,86.27
2022,7,31,28.68,3.52,86.92
2022,8,1,29.08,10.23,88.1
2022,8,2,29.49,7.25,85.41
2022,8,3,28.32,11.74,88.07
2022,8,4,28.86,14.72,85.71
2022,8,5,29.18,6.39,86.63
2022,8,6,28.62,25.17,88.61
2022,8,7,29.38,7.17,84.81
2022,8,8,27.99,9.92,90.26
2022,8,9,28.2,6.14,88.62
2022,8,10,27.5,4.97,92.13
2022,8,11,27.9,4.85,90.21
2022,8,12,28.82,2.36,84.4
2022,8,13,27.76,11.0,91.97
2022,8,14,27.23,19.98,91.71
2022,8,15,28.18,14.86,89.47
2022,8,16,28.91,4.41,85.45
2022,8,17,29.59,4.1,83.46
2022,8,18,30.01,4.98,83.84
2022,8,19,28.4,22.3,86.9
2022,8,20,28.08,8.26,87.59
2022,8,21,28.3,4.95,87.58
2022,8,22,28.95,2.45,85.11
2022,8,23,28.09,34.31,89.06
2022,8,24,27.78,5.57,87.72
2022,8,25,28.34,3.87,83.45
2022,8,26,28.53,0.54,86.9
2022,8,27,27.77,1.48,89.83
2022,8,28,27.8,6.0,87.95
2022,8,29,28.65,1.51,85.08
2022,8,30,29.1,0.86,82.93
2022,8,31,28.82,0.49,85.78
2022,9,1,28.29,2.75,84.13
2022,9,2,28.39,10.25,86.58
2022,9,3,28.99,12.47,87.24
2022,9,4,29.08,19.14,88.3
2022,9,5,28.69,13.69,89.83
2022,9,6,28.6,11.78,85.39
2022,9,7,28.33,10.75,87.21
2022,9,8,29.9,8.54,82.8
2022,9,9,28.42,11.22,87.99
2022,9,10,27.34,10.91,92.25
2022,9,11,27.34,26.02,91.65
2022,9,12,27.23,24.5,94.48
2022,9,13,27.25,33.07,93.92
2022,9,14,27.55,35.48,89.43
2022,9,15,27.91,24.47,89.55
2022,9,16,27.98,10.61,89.17
2022,9,17,28.57,1.21,85.78
2022,9,18,28.57,1.48,87.8
2022,9,19,27.55,8.46,92.09
2022,9,20,27.84,1.41,89.61
2022,9,21,27.88,4.64,89.79
2022,9,22,27.54,5.35,91.31
2022,9,23,27.78,2.75,88.28
2022,9,24,27.4,2.38,89.04
2022,9,25,28.15,4.05,82.96
2022,9,26,27.5,3.14,87.46
2022,9,27,27.76,18.75,88.04
2022,9,28,27.4,5.82,85.44
2022,9,29,28.45,0.37,80.06
2022,9,30,28.99,0.82,81.07
2022,10,1,28.94,11.06,84.22
2022,10,2,27.56,41.76,91.65
2022,10,3,26.89,25.98,93.08
2022,10,4,27.81,20.57,88.93
2022,10,5,27.72,14.24,89.28
2022,10,6,27.59,5.38,88.31
2022,10,7,28.14,2.29,79.16
2022,10,8,28.11,1.84,83.12
2022,10,9,27.49,12.16,88.73
2022,10,10,27.24,10.41,89.11
2022,10,11,27.13,6.56,91.65
2022,10,12,26.76,5.05,91.11
2022,10,13,26.95,5.14,87.39
2022,10,14,27.55,10.02,83.61
2022,10,15,26.9,2.91,86.37
2022,10,16,26.37,2.61,85.65
2022,10,17,27.15,1.1,83.12
2022,10,18,27.52,0.93,80.04
2022,10,19,26.62,0.55,83.28
2022,10,20,26.41,0.11,84.43
2022,10,21,26.62,0.0,84.89
2022,10,22,26.68,0.0,82.87
2022,10,23,25.01,25.1,90.29
2022,10,24,23.48,149.91,94.96
2022,10,25,24.02,26.26,85.75
2022,10,26,24.47,2.64,81.78
2022,10,27,24.23,0.0,79.29
2022,10,28,23.61,0.0,76.07
2022,10,29,24.09,0.07,75.36
2022,10,30,24.74,7.54,79.56
2022,10,31,25.73,0.5,84.0
2022,11,1,25.92,0.0,84.98
2022,11,2,25.75,0.0,85.43
2022,11,3,24.51,0.0,83.52
2022,11,4,23.85,0.0,76.34
2022,11,5,25.12,0.08,72.17
2022,11,6,24.93,7.49,73.42
2022,11,7,24.1,0.06,73.33
2022,11,8,24.19,0.0,69.49
2022,11,9,23.72,0.0,74.42
2022,11,10,23.63,0.0,74.51
2022,11,11,23.32,0.0,75.58
2022,11,12,23.46,0.0,75.93
2022,11,13,21.8,0.01,81.67
2022,11,14,21.64,0.14,76.38
2022,11,15,22.49,0.0,73.96
2022,11,16,22.42,0.0,78.36
2022,11,17,22.05,0.0,80.59
2022,11,18,20.98,0.0,80.16
2022,11,19,21.07,0.0,79.87
2022,11,20,22.2,0.62,78.19
2022,11,21,21.27,0.11,82.09
2022,11,22,20.2,0.0,83.55
2022,11,23,20.16,0.0,86.18
2022,11,24,20.34,0.0,84.62
2022,11,25,21.56,2.94,80.63
2022,11,26,21.86,0.0,77.45
2022,11,27,21.81,0.01,73.59
2022,11,28,21.46,0.01,80.09
2022,11,29,22.66,0.01,78.58
2022,11,30,22.38,0.0,79.73
2022,12,1,20.96,0.0,82.52
2022,12,2,20.24,0.0,85.57
2022,12,3,19.98,0.0,83.06
2022,12,4,20.23,0.0,80.09
2022,12,5,20.21,0.0,82.99
2022,12,6,20.15,0.0,83.49
2022,12,7,19.61,0.0,84.05
2022,12,8,19.94,0.0,81.23
2022,12,9,20.5,0.0,76.65
2022,12,10,20.99,0.0,73.04
2022,12,11,20.16,0.0,76.39
2022,12,12,19.38,0.0,78.74
2022,12,13,19.36,0.0,77.86
2022,12,14,19.82,0.0,76.92
2022,12,15,18.75,0.0,76.81
2022,12,16,17.48,0.0,79.38
2022,12,17,18.26,0.0,77.35
2022,12,18,19.35,0.0,72.76
2022,12,19,19.61,0.0,72.0
2022,12,20,20.09,0.0,74.51
2022,12,21,19.06,0.0,80.25
2022,12,22,19.05,0.0,76.65
2022,12,23,18.51,0.0,71.47
2022,12,24,18.45,0.0,64.8
2022,12,25,19.74,0.0,67.67
2022,12,26,20.69,0.06,74.62
2022,12,27,20.67,4.3,81.03
2022,12,28,19.03,2.17,83.37
2022,12,29,16.06,0.0,71.76
2022,12,30,16.6,0.0,71.48
2022,12,31,17.1,0.0,71.03
2023,1,1,16.68,0.0,76.5
2023,1,2,17.02,0.0,75.04
2023,1,3,16.73,0.0,79.31
2023,1,4,15.8,0.0,82.96
2023,1,5,15.85,0.0,81.38
2023,1,6,16.05,0.03,80.87
2023,1,7,16.58,0.0,82.34
2023,1,8,17.62,0.0,79.44
2023,1,9,18.28,0.0,76.31
2023,1,10,18.45,0.0,73.4
2023,1,11,17.02,0.0,69.84
2023,1,12,16.35,0.0,67.09
2023,1,13,17.65,0.0,64.49
2023,1,14,18.51,0.0,74.85
2023,1,15,18.58,0.0,78.43
2023,1,16,17.61,0.0,71.86
2023,1,17,16.8,0.0,73.78
2023,1,18,15.91,0.0,68.71
2023,1,19,15.21,0.0,65.83
2023,1,20,15.61,0.0,66.35
2023,1,21,16.96,6.96,68.19
2023,1,22,17.91,0.0,64.34
2023,1,23,18.93,0.0,68.37
2023,1,24,19.57,0.0,70.07
2023,1,25,20.45,0.0,65.78
2023,1,26,21.23,0.0,66.98
2023,1,27,21.18,0.0,71.75
2023,1,28,20.76,0.0,74.52
2023,1,29,19.66,0.0,70.57
2023,1,30,20.63,0.0,67.1
2023,1,31,21.35,0.0,70.18
2023,2,1,20.81,0.0,64.69
2023,2,2,18.56,0.0,60.82
2023,2,3,18.49,0.0,65.07
2023,2,4,19.15,0.0,59.13
2023,2,5,20.19,0.0,51.15
2023,2,6,21.15,0.0,47.76
2023,2,7,20.26,0.0,63.78
2023,2,8,21.58,0.0,75.7
2023,2,9,22.03,0.0,70.01
2023,2,10,21.65,0.0,55.74
2023,2,11,21.68,0.0,53.97
2023,2,12,22.25,0.0,70.65
2023,2,13,19.76,0.0,47.33
2023,2,14,19.72,0.0,42.75
2023,2,15,20.45,0.0,42.07
2023,2,16,20.98,0.0,46.45
2023,2,17,21.63,0.0,61.83
2023,2,18,23.03,0.0,61.3
2023,2,19,23.88,0.0,57.55
2023,2,20,24.2,0.0,61.74
2023,2,21,24.41,0.0,70.43
2023,2,22,25.18,0.0,72.0
2023,2,23,25.12,0.15,73.37
2023,2,24,25.25,0.22,68.82
2023,2,25,25.07,0.32,56.32
2023,2,26,25.35,0.66,43.08
2023,2,27,25.49,0.0,42.69
2023,2,28,24.82,0.01,46.68
2023,3,1,24.1,0.0,47.06
2023,3,2,25.49,0.0,44.74
2023,3,3,25.74,0.0,44.18
2023,3,4,27.27,0.0,39.65
2023,3,5,27.43,0.0,45.35
2023,3,6,27.86,0.0,39.29
2023,3,7,26.89,0.0,43.62
2023,3,8,26.74,0.0,39.77
2023,3,9,26.9,0.0,43.41
2023,3,10,25.28,0.0,46.17
2023,3,11,27.39,0.0,43.04
2023,3,12,27.04,0.01,44.57
2023,3,13,27.96,0.01,41.68
2023,3,14,27.73,0.04,48.25
2023,3,15,26.95,1.08,64.44
2023,3,16,25.85,2.34,70.16
2023,3,17,25.49,0.49,65.09
2023,3,18,25.54,3.77,63.47
2023,3,19,23.81,7.89,76.41
2023,3,20,23.33,12.25,78.8
2023,3,21,24.64,20.26,75.67
2023,3,22,24.97,13.21,71.79
2023,3,23,25.27,3.99,72.07
2023,3,24,25.73,1.7,69.36
2023,3,25,26.44,5.14,69.85
2023,3,26,27.43,4.04,69.07
2023,3,27,27.24,5.62,70.44
2023,3,28,27.6,3.95,68.15
2023,3,29,26.91,13.77,73.67
2023,3,30,26.29,12.21,75.42
2023,3,31,25.72,34.55,83.14
2023,4,1,24.47,48.65,86.45
2023,4,2,24.99,4.64,77.57
2023,4,3,25.92,3.18,76.21
2023,4,4,27.2,0.65,76.12
2023,4,5,27.7,0.85,79.59
2023,4,6,27.95,1.18,71.02
2023,4,7,28.12,3.3,63.48
2023,4,8,28.49,0.0,58.93
2023,4,9,29.12,2.11,54.51
2023,4,10,28.85,8.45,60.17
2023,4,11,29.15,0.0,64.76
2023,4,12,29.54,0.0,57.58
2023,4,13,29.17,0.0,59.9
2023,4,14,30.18,0.0,62.88
2023,4,15,30.73,0.0,62.73
2023,4,16,30.38,0.0,63.75
2023,4,17,30.3,0.0,71.32
2023,4,18,30.74,0.0,70.45
2023,4,19,30.52,0.0,70.66
2023,4,20,30.92,0.06,70.17
2023,4,21,30.73,2.5,70.61
2023,4,22,30.19,1.58,65.76
2023,4,23,28.31,2.89,68.91
2023,4,24,29.13,0.08,59.07
2023,4,25,29.8,0.4,52.6
2023,4,26,30.41,0.01,48.93
2023,4,27,31.33,0.11,49.31
2023,4,28,29.3,12.95,60.71
2023,4,29,29.63,12.36,65.95
2023,4,30,29.34,8.71,66.28
2023,5,1,28.95,1.01,65.34
2023,5,2,29.81,0.16,58.5
2023,5,3,29.29,11.41,64.86
2023,5,4,28.74,17.97,72.48
2023,5,5,28.44,9.34,74.8
2023,5,6,29.5,3.7,72.35
2023,5,7,30.52,3.99,64.25
2023,5,8,31.4,0.0,56.75
2023,5,9,31.8,0.0,54.97
2023,5,10,32.16,0.0,62.46
2023,5,11,31.62,1.24,64.41
2023,5,12,30.61,2.05,67.22
2023,5,13,31.0,0.58,63.17
2023,5,14,29.16,0.34,62.84
2023,5,15,29.46,0.56,59.74
2023,5,16,30.21,9.83,72.33
2023,5,17,28.74,28.42,84.07
2023,5,18,27.98,40.08,87.16
2023,5,19,27.94,6.52,85.46
